participantId,ai_role
1904,A mix of both a tool and an influencing agent
189,Mostly as a tool to assist me in making my own determinations
122,Primarily as an agent trying to influence or persuade me in making determinations
1686,Mostly as a tool to assist me in making my own determinations
847,A mix of both a tool and an influencing agent
2073,A mix of both a tool and an influencing agent
1090,Primarily as an agent trying to influence or persuade me in making determinations
1465,Mostly as a tool to assist me in making my own determinations
1309,A mix of both a tool and an influencing agent
704,A mix of both a tool and an influencing agent
2272,Mostly as a tool to assist me in making my own determinations
36,Mostly as a tool to assist me in making my own determinations
97,Primarily as an agent trying to influence or persuade me in making determinations
2372,Mostly as a tool to assist me in making my own determinations
1156,Mostly as a tool to assist me in making my own determinations
1315,Mostly as a tool to assist me in making my own determinations
929,Mostly as a tool to assist me in making my own determinations
1349,Mostly as a tool to assist me in making my own determinations
791,A mix of both a tool and an influencing agent
2349,Primarily as an agent trying to influence or persuade me in making determinations
2036,Mostly as a tool to assist me in making my own determinations
1124,A mix of both a tool and an influencing agent
352,Primarily as an agent trying to influence or persuade me in making determinations
16,Mostly as a tool to assist me in making my own determinations
214,Neither as a tool nor as an influencing agent
2157,Primarily as an agent trying to influence or persuade me in making determinations
60,Mostly as a tool to assist me in making my own determinations
871,A mix of both a tool and an influencing agent
2166,Neither as a tool nor as an influencing agent
1032,A mix of both a tool and an influencing agent
175,Primarily as an agent trying to influence or persuade me in making determinations
1691,A mix of both a tool and an influencing agent
2303,A mix of both a tool and an influencing agent
2035,A mix of both a tool and an influencing agent
1091,A mix of both a tool and an influencing agent
1837,Primarily as an agent trying to influence or persuade me in making determinations
648,Primarily as an agent trying to influence or persuade me in making determinations
393,A mix of both a tool and an influencing agent
820,Mostly as a tool to assist me in making my own determinations
737,Mostly as a tool to assist me in making my own determinations
1009,Mostly as a tool to assist me in making my own determinations
763,Mostly as a tool to assist me in making my own determinations
1620,Mostly as a tool to assist me in making my own determinations
991,A mix of both a tool and an influencing agent
1178,Mostly as a tool to assist me in making my own determinations
1251,Mostly as a tool to assist me in making my own determinations
454,Mostly as a tool to assist me in making my own determinations
9,Mostly as a tool to assist me in making my own determinations
2001,Mostly as a tool to assist me in making my own determinations
665,Mostly as a tool to assist me in making my own determinations
994,A mix of both a tool and an influencing agent
185,Primarily as an agent trying to influence or persuade me in making determinations
1494,Unsure
1763,A mix of both a tool and an influencing agent
974,A mix of both a tool and an influencing agent
883,A mix of both a tool and an influencing agent
624,Mostly as a tool to assist me in making my own determinations
2407,A mix of both a tool and an influencing agent
67,A mix of both a tool and an influencing agent
1918,Mostly as a tool to assist me in making my own determinations
93,Mostly as a tool to assist me in making my own determinations
1945,Primarily as an agent trying to influence or persuade me in making determinations
1121,Primarily as an agent trying to influence or persuade me in making determinations
1358,A mix of both a tool and an influencing agent
794,Primarily as an agent trying to influence or persuade me in making determinations
266,Mostly as a tool to assist me in making my own determinations
422,A mix of both a tool and an influencing agent
19,A mix of both a tool and an influencing agent
2380,A mix of both a tool and an influencing agent
2316,Mostly as a tool to assist me in making my own determinations
120,Mostly as a tool to assist me in making my own determinations
813,Mostly as a tool to assist me in making my own determinations
543,A mix of both a tool and an influencing agent
2400,Mostly as a tool to assist me in making my own determinations
1254,A mix of both a tool and an influencing agent
1932,A mix of both a tool and an influencing agent
479,Mostly as a tool to assist me in making my own determinations
640,Mostly as a tool to assist me in making my own determinations
867,A mix of both a tool and an influencing agent
321,Mostly as a tool to assist me in making my own determinations
360,A mix of both a tool and an influencing agent
535,Mostly as a tool to assist me in making my own determinations
2185,Mostly as a tool to assist me in making my own determinations
1933,Primarily as an agent trying to influence or persuade me in making determinations
797,A mix of both a tool and an influencing agent
547,Mostly as a tool to assist me in making my own determinations
1017,Mostly as a tool to assist me in making my own determinations
1914,A mix of both a tool and an influencing agent
1204,A mix of both a tool and an influencing agent
436,A mix of both a tool and an influencing agent
476,Mostly as a tool to assist me in making my own determinations
575,Mostly as a tool to assist me in making my own determinations
2293,Primarily as an agent trying to influence or persuade me in making determinations
1227,Mostly as a tool to assist me in making my own determinations
1364,A mix of both a tool and an influencing agent
1236,Mostly as a tool to assist me in making my own determinations
2378,Mostly as a tool to assist me in making my own determinations
130,Mostly as a tool to assist me in making my own determinations
1619,Mostly as a tool to assist me in making my own determinations
2333,A mix of both a tool and an influencing agent
1307,Primarily as an agent trying to influence or persuade me in making determinations
394,A mix of both a tool and an influencing agent
1616,Primarily as an agent trying to influence or persuade me in making determinations
2109,Mostly as a tool to assist me in making my own determinations
89,A mix of both a tool and an influencing agent
246,A mix of both a tool and an influencing agent
1257,Mostly as a tool to assist me in making my own determinations
2403,A mix of both a tool and an influencing agent
2342,A mix of both a tool and an influencing agent
1346,Primarily as an agent trying to influence or persuade me in making determinations
2135,A mix of both a tool and an influencing agent
896,A mix of both a tool and an influencing agent
1949,Mostly as a tool to assist me in making my own determinations
1383,A mix of both a tool and an influencing agent
921,A mix of both a tool and an influencing agent
1774,Primarily as an agent trying to influence or persuade me in making determinations
2338,Mostly as a tool to assist me in making my own determinations
890,Neither as a tool nor as an influencing agent
1967,A mix of both a tool and an influencing agent
188,Mostly as a tool to assist me in making my own determinations
703,A mix of both a tool and an influencing agent
2264,A mix of both a tool and an influencing agent
592,A mix of both a tool and an influencing agent
1434,Mostly as a tool to assist me in making my own determinations
2214,Mostly as a tool to assist me in making my own determinations
70,A mix of both a tool and an influencing agent
415,Mostly as a tool to assist me in making my own determinations
1283,Mostly as a tool to assist me in making my own determinations
1083,A mix of both a tool and an influencing agent
1452,A mix of both a tool and an influencing agent
995,Primarily as an agent trying to influence or persuade me in making determinations
2331,A mix of both a tool and an influencing agent
2261,A mix of both a tool and an influencing agent
474,A mix of both a tool and an influencing agent
759,A mix of both a tool and an influencing agent
1088,A mix of both a tool and an influencing agent
396,A mix of both a tool and an influencing agent
1089,Mostly as a tool to assist me in making my own determinations
1104,A mix of both a tool and an influencing agent
1911,A mix of both a tool and an influencing agent
860,Mostly as a tool to assist me in making my own determinations
1491,A mix of both a tool and an influencing agent
2401,A mix of both a tool and an influencing agent
2170,A mix of both a tool and an influencing agent
411,Mostly as a tool to assist me in making my own determinations
2118,Mostly as a tool to assist me in making my own determinations
1718,A mix of both a tool and an influencing agent
1103,Primarily as an agent trying to influence or persuade me in making determinations
1061,Neither as a tool nor as an influencing agent
805,Primarily as an agent trying to influence or persuade me in making determinations
1871,Mostly as a tool to assist me in making my own determinations
738,Neither as a tool nor as an influencing agent
2187,Mostly as a tool to assist me in making my own determinations
1864,A mix of both a tool and an influencing agent
483,Mostly as a tool to assist me in making my own determinations
174,Mostly as a tool to assist me in making my own determinations
2072,Neither as a tool nor as an influencing agent
600,Mostly as a tool to assist me in making my own determinations
2318,A mix of both a tool and an influencing agent
800,A mix of both a tool and an influencing agent
1608,Mostly as a tool to assist me in making my own determinations
2307,Mostly as a tool to assist me in making my own determinations
1522,A mix of both a tool and an influencing agent
1318,Mostly as a tool to assist me in making my own determinations
1920,A mix of both a tool and an influencing agent
742,Mostly as a tool to assist me in making my own determinations
2123,Neither as a tool nor as an influencing agent
1991,Mostly as a tool to assist me in making my own determinations
2300,Mostly as a tool to assist me in making my own determinations
2091,Mostly as a tool to assist me in making my own determinations
554,A mix of both a tool and an influencing agent
1362,Unsure
2139,Primarily as an agent trying to influence or persuade me in making determinations
1071,A mix of both a tool and an influencing agent
1133,Mostly as a tool to assist me in making my own determinations
644,A mix of both a tool and an influencing agent
2016,Mostly as a tool to assist me in making my own determinations
690,Primarily as an agent trying to influence or persuade me in making determinations
1614,A mix of both a tool and an influencing agent
445,Mostly as a tool to assist me in making my own determinations
1099,Mostly as a tool to assist me in making my own determinations
764,A mix of both a tool and an influencing agent
1539,Mostly as a tool to assist me in making my own determinations
1906,Mostly as a tool to assist me in making my own determinations
1903,A mix of both a tool and an influencing agent
1872,Mostly as a tool to assist me in making my own determinations
1525,Mostly as a tool to assist me in making my own determinations
1327,A mix of both a tool and an influencing agent
1804,A mix of both a tool and an influencing agent
855,A mix of both a tool and an influencing agent
606,Primarily as an agent trying to influence or persuade me in making determinations
841,Mostly as a tool to assist me in making my own determinations
1535,Mostly as a tool to assist me in making my own determinations
121,Mostly as a tool to assist me in making my own determinations
301,Mostly as a tool to assist me in making my own determinations
1621,A mix of both a tool and an influencing agent
812,A mix of both a tool and an influencing agent
1612,A mix of both a tool and an influencing agent
1184,Primarily as an agent trying to influence or persuade me in making determinations
2328,A mix of both a tool and an influencing agent
2205,Primarily as an agent trying to influence or persuade me in making determinations
1748,Mostly as a tool to assist me in making my own determinations
1116,Unsure
104,A mix of both a tool and an influencing agent
1699,Mostly as a tool to assist me in making my own determinations
407,A mix of both a tool and an influencing agent
996,A mix of both a tool and an influencing agent
1726,Mostly as a tool to assist me in making my own determinations
1937,A mix of both a tool and an influencing agent
2367,A mix of both a tool and an influencing agent
2277,Mostly as a tool to assist me in making my own determinations
2096,A mix of both a tool and an influencing agent
789,Primarily as an agent trying to influence or persuade me in making determinations
1404,A mix of both a tool and an influencing agent
818,Mostly as a tool to assist me in making my own determinations
1141,A mix of both a tool and an influencing agent
1568,Mostly as a tool to assist me in making my own determinations
1171,A mix of both a tool and an influencing agent
2108,A mix of both a tool and an influencing agent
2041,A mix of both a tool and an influencing agent
176,Mostly as a tool to assist me in making my own determinations
1405,Primarily as an agent trying to influence or persuade me in making determinations
1408,A mix of both a tool and an influencing agent
75,A mix of both a tool and an influencing agent
62,Neither as a tool nor as an influencing agent
165,A mix of both a tool and an influencing agent
502,Mostly as a tool to assist me in making my own determinations
2017,A mix of both a tool and an influencing agent
1835,A mix of both a tool and an influencing agent
1453,Mostly as a tool to assist me in making my own determinations
2317,Mostly as a tool to assist me in making my own determinations
1332,A mix of both a tool and an influencing agent
888,A mix of both a tool and an influencing agent
1601,Mostly as a tool to assist me in making my own determinations
1652,A mix of both a tool and an influencing agent
2358,Mostly as a tool to assist me in making my own determinations
1064,A mix of both a tool and an influencing agent
643,A mix of both a tool and an influencing agent
2332,Mostly as a tool to assist me in making my own determinations
2173,A mix of both a tool and an influencing agent
1271,Primarily as an agent trying to influence or persuade me in making determinations
1851,A mix of both a tool and an influencing agent
1672,A mix of both a tool and an influencing agent
293,Mostly as a tool to assist me in making my own determinations
2112,Primarily as an agent trying to influence or persuade me in making determinations
299,Mostly as a tool to assist me in making my own determinations
1154,Primarily as an agent trying to influence or persuade me in making determinations
1800,Mostly as a tool to assist me in making my own determinations
1414,A mix of both a tool and an influencing agent
514,Mostly as a tool to assist me in making my own determinations
2065,Mostly as a tool to assist me in making my own determinations
312,A mix of both a tool and an influencing agent
69,A mix of both a tool and an influencing agent
1883,Mostly as a tool to assist me in making my own determinations
659,Unsure
2248,A mix of both a tool and an influencing agent
1717,Neither as a tool nor as an influencing agent
127,Mostly as a tool to assist me in making my own determinations
1946,Mostly as a tool to assist me in making my own determinations
2115,Mostly as a tool to assist me in making my own determinations
1888,A mix of both a tool and an influencing agent
2236,A mix of both a tool and an influencing agent
103,Mostly as a tool to assist me in making my own determinations
1989,Mostly as a tool to assist me in making my own determinations
2369,A mix of both a tool and an influencing agent
985,A mix of both a tool and an influencing agent
1478,Mostly as a tool to assist me in making my own determinations
924,Primarily as an agent trying to influence or persuade me in making determinations
469,Primarily as an agent trying to influence or persuade me in making determinations
2196,Mostly as a tool to assist me in making my own determinations
817,Primarily as an agent trying to influence or persuade me in making determinations
466,Mostly as a tool to assist me in making my own determinations
1707,Mostly as a tool to assist me in making my own determinations
506,A mix of both a tool and an influencing agent
1704,A mix of both a tool and an influencing agent
2066,Mostly as a tool to assist me in making my own determinations
1583,Mostly as a tool to assist me in making my own determinations
2239,Primarily as an agent trying to influence or persuade me in making determinations
35,A mix of both a tool and an influencing agent
2276,Primarily as an agent trying to influence or persuade me in making determinations
385,A mix of both a tool and an influencing agent
663,A mix of both a tool and an influencing agent
1995,Neither as a tool nor as an influencing agent
1407,Mostly as a tool to assist me in making my own determinations
1979,A mix of both a tool and an influencing agent
965,Mostly as a tool to assist me in making my own determinations
2134,A mix of both a tool and an influencing agent
1540,Neither as a tool nor as an influencing agent
289,Mostly as a tool to assist me in making my own determinations
1897,Mostly as a tool to assist me in making my own determinations
2217,Primarily as an agent trying to influence or persuade me in making determinations
1787,Mostly as a tool to assist me in making my own determinations
1012,Primarily as an agent trying to influence or persuade me in making determinations
1261,Mostly as a tool to assist me in making my own determinations
2235,Mostly as a tool to assist me in making my own determinations
2121,Mostly as a tool to assist me in making my own determinations
372,Neither as a tool nor as an influencing agent
2049,A mix of both a tool and an influencing agent
1735,A mix of both a tool and an influencing agent
2107,Mostly as a tool to assist me in making my own determinations
607,A mix of both a tool and an influencing agent
1588,A mix of both a tool and an influencing agent
1421,A mix of both a tool and an influencing agent
2376,A mix of both a tool and an influencing agent
2125,A mix of both a tool and an influencing agent
25,A mix of both a tool and an influencing agent
560,Mostly as a tool to assist me in making my own determinations
1679,A mix of both a tool and an influencing agent
1002,Primarily as an agent trying to influence or persuade me in making determinations
1503,Primarily as an agent trying to influence or persuade me in making determinations
1074,Mostly as a tool to assist me in making my own determinations
205,Mostly as a tool to assist me in making my own determinations
1756,A mix of both a tool and an influencing agent
432,Mostly as a tool to assist me in making my own determinations
249,Mostly as a tool to assist me in making my own determinations
1335,A mix of both a tool and an influencing agent
1312,Unsure
1892,A mix of both a tool and an influencing agent
1070,Primarily as an agent trying to influence or persuade me in making determinations
1936,Mostly as a tool to assist me in making my own determinations
441,Primarily as an agent trying to influence or persuade me in making determinations
1244,Mostly as a tool to assist me in making my own determinations
533,Mostly as a tool to assist me in making my own determinations
172,Mostly as a tool to assist me in making my own determinations
2392,Primarily as an agent trying to influence or persuade me in making determinations
1473,Unsure
438,Mostly as a tool to assist me in making my own determinations
581,Mostly as a tool to assist me in making my own determinations
2132,A mix of both a tool and an influencing agent
2122,Primarily as an agent trying to influence or persuade me in making determinations
1363,Mostly as a tool to assist me in making my own determinations
212,A mix of both a tool and an influencing agent
548,Mostly as a tool to assist me in making my own determinations
870,Primarily as an agent trying to influence or persuade me in making determinations
1148,Mostly as a tool to assist me in making my own determinations
1869,Neither as a tool nor as an influencing agent
1831,Mostly as a tool to assist me in making my own determinations
866,A mix of both a tool and an influencing agent
1557,Mostly as a tool to assist me in making my own determinations
471,A mix of both a tool and an influencing agent
1530,A mix of both a tool and an influencing agent
596,A mix of both a tool and an influencing agent
2019,Primarily as an agent trying to influence or persuade me in making determinations
1773,A mix of both a tool and an influencing agent
367,Mostly as a tool to assist me in making my own determinations
1316,Mostly as a tool to assist me in making my own determinations
2102,Primarily as an agent trying to influence or persuade me in making determinations
1537,Mostly as a tool to assist me in making my own determinations
549,A mix of both a tool and an influencing agent
106,A mix of both a tool and an influencing agent
877,A mix of both a tool and an influencing agent
602,Mostly as a tool to assist me in making my own determinations
1809,A mix of both a tool and an influencing agent
2014,Primarily as an agent trying to influence or persuade me in making determinations
987,Primarily as an agent trying to influence or persuade me in making determinations
1040,A mix of both a tool and an influencing agent
1677,A mix of both a tool and an influencing agent
1893,Mostly as a tool to assist me in making my own determinations
2128,Mostly as a tool to assist me in making my own determinations
1199,A mix of both a tool and an influencing agent
716,A mix of both a tool and an influencing agent
1910,Mostly as a tool to assist me in making my own determinations
1117,Mostly as a tool to assist me in making my own determinations
1631,A mix of both a tool and an influencing agent
2285,A mix of both a tool and an influencing agent
522,Primarily as an agent trying to influence or persuade me in making determinations
1848,Primarily as an agent trying to influence or persuade me in making determinations
132,Primarily as an agent trying to influence or persuade me in making determinations
1898,Primarily as an agent trying to influence or persuade me in making determinations
